"","ensemble_id","PV_losses","cases_per_100k","start_date","end_date","labor_supply_level","duration","intensity","q_cases"
"862","1774",18589.7864035524,61689.309033509,64,120,0.137641926528886,56,48.2920521143824,"Q1"
"863","1775",12499.1022916017,61814.8177024575,56,108,0.682536666281521,52,16.5080933533609,"Q3"
"864","1776",12424.5930957989,61816.6701199705,64,100,0.633526914287359,36,13.1930310856551,"Q3"
"865","1777",12436.5718813762,61819.2288156327,61,121,0.810599691001698,60,11.3640185398981,"Q4"
"866","1778",12181.2066146536,61825.2339735985,55,111,0.933320980984718,56,3.73402506485581,"Q4"
"867","1779",14337.1065902625,61780.9673276158,81,115,0.368470941204578,34,21.4719879990444,"Q2"
"868","178",20557.2391624655,61622.0588558766,70,135,0.0717998356558383,65,60.3330106823705,"Q1"
"869","1780",15582.5749398852,61764.1347519914,59,99,0.246561417123303,40,30.1375433150679,"Q2"
"870","1781",16735.9212012431,61712.1323487873,56,122,0.368298440938815,66,41.6923028980382,"Q1"
"871","1782",17644.9151784431,61732.6773446413,35,80,0.183347465237603,45,36.7493640643079,"Q1"
"872","1783",13595.0325532405,61794.2085064315,49,89,0.428119082003832,40,22.8752367198467,"Q2"
"873","1784",12165.9549714126,61825.0601408304,54,96,0.910603710683063,42,3.75464415131137,"Q4"
"874","1785",12205.8367715781,61825.2185468129,54,126,0.942915499443188,72,4.11008404009044,"Q4"
"875","1786",12314.2532158969,61822.4670699344,61,119,0.870976550970227,58,7.48336004372686,"Q4"
"876","1787",12726.8846022139,61808.6652655525,65,126,0.668236852856353,61,20.2375519757625,"Q3"
"877","1788",15509.9326033745,61774.7515274991,59,92,0.142077370313928,33,28.3114467796404,"Q2"
"878","1789",18577.2706836323,61676.1915242468,58,121,0.212962761288509,63,49.5833460388239,"Q1"
"879","179",12427.2561585017,61820.2373307073,60,133,0.861251652473584,73,10.1286293694284,"Q4"
"880","1790",12657.4781201788,61805.2245567203,51,107,0.562369134509936,56,24.5073284674436,"Q3"
"881","1791",17078.2934018639,61710.085037108,66,123,0.293163871858269,57,40.2896593040787,"Q1"
"882","1792",12401.6807288058,61817.2596178323,48,102,0.723390209488571,54,14.9369286876172,"Q3"
"883","1793",12248.252044161,61824.3326187334,55,127,0.925645664799958,72,5.35351213440299,"Q4"
"884","1794",13544.334110821,61787.4053144669,56,114,0.512160753598437,58,28.2946762912907,"Q2"
"885","1795",12409.1329422688,61816.489010444,53,98,0.665666298242286,45,15.0450165790971,"Q3"
"886","1796",12230.0663864706,61825.1606167577,64,141,0.947654067073017,77,4.03063683537766,"Q4"
"887","1797",12300.694669156,61822.6531586781,59,116,0.870623807189986,57,7.37444299017079,"Q4"
