I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
1.5487041378064497e-5,2.7243502650397106e-6,-0.9603370618752161,11.584965364042372,2.9625234106482585,1.1958469404104517e-4,4.953572690210387,1.700091565866318e-5,blanket_1
1.5174733653413115e-5,2.6694085529835267e-6,-0.959934174920829,11.585036762825482,2.9625337673631513,1.1717317961505701e-4,4.953596599041333,1.6658011715801095e-5,blanket_1
1.4868720355183092e-5,2.61557429342197e-6,-0.9595394134694235,11.585106722630357,2.962543915171308,1.1481026821397115e-4,4.953620025732896,1.6322021561828038e-5,blanket_1
1.4568874761359076e-5,2.5628251856213605e-6,-0.9591526137157524,11.58517527242577,2.9625538582853785,1.124949813414393e-4,4.95364298000238,1.599280589722199e-5,blanket_1
1.4275072695579064e-5,2.511139377037283e-6,-0.9587736151536075,11.585242440598643,2.962563600833118,1.1022636015762288e-4,4.953665471371472,1.5670228225105322e-5,blanket_1
1.3987192476218449e-5,2.4604954543422223e-6,-0.9584022605102049,11.585308254965595,2.962573146859085,1.0800346508604002e-4,4.953687509170136,1.535415479501545e-5,blanket_1
1.3705114866483592e-5,2.410872434631462e-6,-0.9580383956805161,11.585372742784447,2.9625825003263255,1.0582537542820903e-4,4.9537091025405005,1.5044454547797305e-5,blanket_1
1.342872302549519e-5,2.3622497568036683e-6,-0.9576818696638623,11.585435930765335,2.9625916651180124,1.0369118898593311e-4,4.953730260440608,1.4740999061595393e-5,blanket_1
1.3157902460342187e-5,2.3146072731128085e-6,-0.9573325345014649,11.585497845081694,2.9626006450390503,1.0160002169108056e-4,4.953750991648125,1.4443662498923849e-5,blanket_1
1.2892540979087293e-5,2.2679252408880247e-6,-0.9569902452152834,11.585558511380981,2.9626094438176502,9.955100724271188e-5,4.953771304763965,1.4152321554793218e-5,blanket_1
1.2632528644705544e-5,2.222184314418172e-6,-0.9566548597479185,11.585617954795225,2.96261806510688,9.754329675141215e-5,4.953791208215837,1.3866855405873006e-5,blanket_1
1.2377757729937674e-5,2.1773655369978065e-6,-0.9563262389039484,11.585676199951344,2.962626512486174,9.557605839068697e-5,4.953810710261737,1.358714566066957e-5,blanket_1
1.2128122673040406e-5,2.133450333131437e-6,-0.9560042462925411,11.585733270981217,2.9626347894628138,9.364847705528383e-5,4.953829818993341,1.3313076310699307e-5,blanket_1
1.1883520034416176e-5,2.0904205008929673e-6,-0.9556887482706444,11.58578919153166,2.962642899473383,9.175975402630453e-5,4.953848542339369,1.3044533682637439e-5,blanket_1
1.1643848454105007e-5,2.0482582044372434e-6,-0.9553796138879522,11.585843984774092,2.962650845885194,8.990910664297444e-5,4.953866888068849,1.2781406391423024e-5,blanket_1
1.1409008610121707e-5,2.006945966660751e-6,-0.9550767148327921,11.585897673414076,2.9626586319976753,8.809576798093914e-5,4.9538848637943245,1.2523585294301405e-5,blanket_1
1.1178903177621808e-5,1.9664666620085115e-6,-0.9547799253788569,11.585950279700644,2.962666261043746,8.63189865369602e-5,4.953902476975013,1.2270963445785395e-5,blanket_1
1.0953436788879998e-5,1.926803509424318e-6,-0.9544891223332574,11.586001825435467,2.962673736191155,8.457802591988497e-5,4.953919734919878,1.2023436053517104e-5,blanket_1
1.0732515994065099e-5,1.887940065441465e-6,-0.9542041849854743,11.586052331981792,2.962681060543787,8.287216454776651e-5,4.953936644790658,1.1780900435012502e-5,blanket_1
1.0516049222795982e-5,1.8498602174112394e-6,-0.9539249950575535,11.586101820273235,2.962688237142955,8.120069535101396e-5,4.95395321360482,1.1543255975271176e-5,blanket_1
